,Date,EURUSD,USDCAD
Fr,09/15/2017,1.1919,1.2165
Th,09/14/2017,1.1885,1.2172
We,09/13/2017,1.1967,1.2186
Tu,09/12/2017,1.1953,1.211
Mo,09/11/2017,1.2036,1.216
Fr,09/08/2017,1.2023,1.2114
Th,09/07/2017,1.1917,1.2226
We,09/06/2017,1.1914,1.2374
Tu,09/05/2017,1.1896,1.2416
Mo,09/04/2017,1.1859,1.2397
Fr,09/01/2017,1.191,1.2482
Th,08/31/2017,1.1884,1.2621
We,08/30/2017,1.1972,1.2512
Tu,08/29/2017,1.1979,1.2508
Mo,08/28/2017,1.1926,1.2472
Fr,08/25/2017,1.1799,1.252
Th,08/24/2017,1.1807,1.2554
We,08/23/2017,1.1762,1.2565
Tu,08/22/2017,1.1815,1.2558
Mo,08/21/2017,1.1753,1.2575
Fr,08/18/2017,1.1723,1.2682
Th,08/17/2017,1.1767,1.2618
We,08/16/2017,1.1735,1.2757
Tu,08/15/2017,1.178,1.2722
Mo,08/14/2017,1.1807,1.2672
Fr,08/11/2017,1.1772,1.2744
Th,08/10/2017,1.1759,1.27
We,08/09/2017,1.1752,1.2667
Tu,08/08/2017,1.1795,1.268
Mo,08/07/2017,1.1771,1.2641
Fr,08/04/2017,1.187,1.2586
Th,08/03/2017,1.1856,1.257
We,08/02/2017,1.1802,1.2538
Tu,08/01/2017,1.1842,1.248
Mo,07/31/2017,1.1739,1.2442
Fr,07/28/2017,1.1677,1.2554
Th,07/27/2017,1.1734,1.2445
We,07/26/2017,1.1647,1.2509
Tu,07/25/2017,1.1643,1.251
Mo,07/24/2017,1.1659,1.2539
Fr,07/21/2017,1.1631,1.2589
Th,07/20/2017,1.1515,1.2606
We,07/19/2017,1.1554,1.2628
Tu,07/18/2017,1.1478,1.2697
Mo,07/17/2017,1.1464,1.2645
Fr,07/14/2017,1.1398,1.2722
Th,07/13/2017,1.1412,1.2751
We,07/12/2017,1.1467,1.2915
Tu,07/11/2017,1.1399,1.2891
Mo,07/10/2017,1.1395,1.2884
Fr,07/07/2017,1.1423,1.2978
Th,07/06/2017,1.1352,1.2957
We,07/05/2017,1.1346,1.2937
Tu,07/04/2017,1.1364,1.3007
Mo,07/03/2017,1.1418,1.2968
Fr,06/30/2017,1.1441,1.3004
Th,06/29/2017,1.1378,1.3038
We,06/28/2017,1.1339,1.3199
Tu,06/27/2017,1.1182,1.3243
Mo,06/26/2017,1.1201,1.3267
Fr,06/23/2017,1.1152,1.3233
Th,06/22/2017,1.1168,1.3334
We,06/21/2017,1.1134,1.3268
Tu,06/20/2017,1.1149,1.3219
Mo,06/19/2017,1.1198,1.3219
Fr,06/16/2017,1.1145,1.3269
Th,06/15/2017,1.1218,1.3247
We,06/14/2017,1.1211,1.3242
Tu,06/13/2017,1.1203,1.3324
Mo,06/12/2017,1.1198,1.3455
Fr,06/09/2017,1.1214,1.3506
Th,06/08/2017,1.1257,1.3509
We,06/07/2017,1.1277,1.3455
Tu,06/06/2017,1.1254,1.3473
Mo,06/05/2017,1.1277,1.3496
Fr,06/02/2017,1.1213,1.3515
Th,06/01/2017,1.1244,1.35
We,05/31/2017,1.1186,1.3459
Tu,05/30/2017,1.1165,1.3452
Mo,05/29/2017,1.1178,1.3449
Fr,05/26/2017,1.121,1.3484
Th,05/25/2017,1.1219,1.3407
We,05/24/2017,1.1183,1.3514
Tu,05/23/2017,1.1237,1.3502
Mo,05/22/2017,1.1204,1.3518
Fr,05/19/2017,1.1103,1.3603
Th,05/18/2017,1.1159,1.3602
We,05/17/2017,1.1083,1.3606
Tu,05/16/2017,1.0975,1.3633
Mo,05/15/2017,1.0925,1.3703
Fr,05/12/2017,1.0861,1.3696
Th,05/11/2017,1.0868,1.3656
We,05/10/2017,1.0874,1.372
Tu,05/09/2017,1.0924,1.3691
Mo,05/08/2017,1.0999,1.3665
Fr,05/05/2017,1.0985,1.3749
Th,05/04/2017,1.0886,1.373
We,05/03/2017,1.093,1.3709
Tu,05/02/2017,1.0899,1.3681
Mo,05/01/2017,1.0901,1.3657
Fr,04/28/2017,1.0873,1.3633
Th,04/27/2017,1.0904,1.3617
We,04/26/2017,1.0926,1.3572
Tu,04/25/2017,1.0868,1.3501
Mo,04/24/2017,1.0859,1.3488
Fr,04/21/2017,1.0717,1.3469
Th,04/20/2017,1.0711,1.3485
We,04/19/2017,1.073,1.338
Tu,04/18/2017,1.0643,1.3317
Mo,04/17/2017,1.0616,1.3319
Fr,04/14/2017,1.0613,1.3329
Th,04/13/2017,1.0665,1.3254
We,04/12/2017,1.0605,1.3325
Tu,04/11/2017,1.0596,1.3327
Mo,04/10/2017,1.0598,1.3402
Fr,04/07/2017,1.0644,1.3413
Th,04/06/2017,1.0663,1.3435
We,04/05/2017,1.0674,1.3402
Tu,04/04/2017,1.067,1.3381
Mo,04/03/2017,1.0665,1.3307
Fr,03/31/2017,1.0674,1.3341
Th,03/30/2017,1.0766,1.3326
We,03/29/2017,1.0813,1.3383
Tu,03/28/2017,1.0864,1.3377
Mo,03/27/2017,1.0798,1.3371
Fr,03/24/2017,1.0783,1.335
Th,03/23/2017,1.0797,1.3329
We,03/22/2017,1.0811,1.3352
Tu,03/21/2017,1.0739,1.335
Mo,03/20/2017,1.0739,1.3335
Fr,03/17/2017,1.0766,1.3319
Th,03/16/2017,1.0734,1.3304
We,03/15/2017,1.0604,1.348
Tu,03/14/2017,1.0653,1.3446
Mo,03/13/2017,1.0668,1.3465
Fr,03/10/2017,1.0577,1.3511
Th,03/09/2017,1.0541,1.3491
We,03/08/2017,1.0566,1.3413
Tu,03/07/2017,1.0582,1.3411
Mo,03/06/2017,1.061,1.3377
Fr,03/03/2017,1.0507,1.3391
Th,03/02/2017,1.0547,1.3325
We,03/01/2017,1.0576,1.33
Tu,02/28/2017,1.0587,1.318
Mo,02/27/2017,1.0563,1.3094
Fr,02/24/2017,1.0582,1.3105
Th,02/23/2017,1.0558,1.3164
We,02/22/2017,1.0536,1.3141
Tu,02/21/2017,1.0614,1.3106
Mo,02/20/2017,1.0614,1.3102
Fr,02/17/2017,1.0674,1.3071
Th,02/16/2017,1.0601,1.308
We,02/15/2017,1.0578,1.3076
Tu,02/14/2017,1.0598,1.3071
Mo,02/13/2017,1.0637,1.3095
Fr,02/10/2017,1.0655,1.3145
Th,02/09/2017,1.0698,1.3144
We,02/08/2017,1.0683,1.3185
Tu,02/07/2017,1.075,1.3084
Mo,02/06/2017,1.0783,1.3038
Fr,02/03/2017,1.0759,1.3027
Th,02/02/2017,1.0769,1.3049
We,02/01/2017,1.0798,1.303
Tu,01/31/2017,1.0695,1.3117
Mo,01/30/2017,1.0693,1.3135
Fr,01/27/2017,1.0682,1.309
Th,01/26/2017,1.0748,1.307
We,01/25/2017,1.0731,1.3158
Tu,01/24/2017,1.0765,1.3238
Mo,01/23/2017,1.0695,1.3325
Fr,01/20/2017,1.0664,1.3319
Th,01/19/2017,1.063,1.3269
We,01/18/2017,1.0713,1.3042
Tu,01/17/2017,1.0601,1.3175
Mo,01/16/2017,1.0617,1.3124
Fr,01/13/2017,1.0613,1.3145
Th,01/12/2017,1.0582,1.3179
We,01/11/2017,1.0554,1.3232
Tu,01/10/2017,1.0574,1.3216
Mo,01/09/2017,1.0541,1.3258
Fr,01/06/2017,1.0607,1.3225
Th,01/05/2017,1.0489,1.3302
We,01/04/2017,1.0405,1.3428
Tu,01/03/2017,1.0455,1.3443
Mo,01/02/2017,1.052,1.3432
Fr,12/30/2016,1.049,1.3502
Th,12/29/2016,1.0413,1.356
We,12/28/2016,1.0457,1.3575
Tu,12/27/2016,1.0455,1.3509
Mo,12/26/2016,1.0459,1.3528
Fr,12/23/2016,1.0437,1.3483
Th,12/22/2016,1.0424,1.3413
We,12/21/2016,1.0388,1.3368
Tu,12/20/2016,1.0402,1.3408
Mo,12/19/2016,1.0446,1.3338
Fr,12/16/2016,1.0414,1.3335
Th,12/15/2016,1.0536,1.3284
We,12/14/2016,1.0626,1.3131
Tu,12/13/2016,1.0635,1.313
Mo,12/12/2016,1.0546,1.3154
Fr,12/09/2016,1.0615,1.3191
Th,12/08/2016,1.0753,1.3234
We,12/07/2016,1.0718,1.3277
Tu,12/06/2016,1.0764,1.3272
Mo,12/05/2016,1.0671,1.3294
Fr,12/02/2016,1.0661,1.3319
Th,12/01/2016,1.0589,1.3438
We,11/30/2016,1.065,1.3432
Tu,11/29/2016,1.0614,1.3412
Mo,11/28/2016,1.0599,1.3513
Fr,11/25/2016,1.0554,1.3492
Th,11/24/2016,1.0553,1.3488
We,11/23/2016,1.0627,1.3441
Tu,11/22/2016,1.0629,1.3418
Mo,11/21/2016,1.0593,1.35
Fr,11/18/2016,1.0626,1.3521
Th,11/17/2016,1.0691,1.3446
We,11/16/2016,1.0722,1.3448
Tu,11/15/2016,1.0737,1.3557
Mo,11/14/2016,1.0851,1.3525
Fr,11/11/2016,1.0893,1.3469
Th,11/10/2016,1.091,1.3424
We,11/09/2016,1.1026,1.3288
Tu,11/08/2016,1.1041,1.3364
Mo,11/07/2016,1.1137,1.3405
Fr,11/04/2016,1.1105,1.3397
Th,11/03/2016,1.1098,1.3393
We,11/02/2016,1.1055,1.339
Tu,11/01/2016,1.0981,1.3409
Mo,10/31/2016,1.0975,1.3388
Fr,10/28/2016,1.0897,1.3386
Th,10/27/2016,1.0908,1.3381
We,10/26/2016,1.0889,1.3351
Tu,10/25/2016,1.0882,1.3286
Mo,10/24/2016,1.0879,1.3334
Fr,10/21/2016,1.0929,1.323
Th,10/20/2016,1.0974,1.3114
We,10/19/2016,1.0981,1.3109
Tu,10/18/2016,1.1,1.3128
Mo,10/17/2016,1.0979,1.3139
Fr,10/14/2016,1.1056,1.3192
Th,10/13/2016,1.1007,1.3276
We,10/12/2016,1.1054,1.3265
Tu,10/11/2016,1.1139,1.3176
Mo,10/10/2016,1.1194,1.3281
Fr,10/07/2016,1.1151,1.3218
Th,10/06/2016,1.1205,1.3176
We,10/05/2016,1.1204,1.3192
Tu,10/04/2016,1.1211,1.312
Mo,10/03/2016,1.1236,1.3115
Fr,09/30/2016,1.1222,1.3146
Th,09/29/2016,1.1217,1.308
We,09/28/2016,1.1214,1.3196
Tu,09/27/2016,1.1254,1.3227
Mo,09/26/2016,1.1232,1.3175
Fr,09/23/2016,1.1208,1.3042
Th,09/22/2016,1.1189,1.3101
We,09/21/2016,1.1151,1.3189
Tu,09/20/2016,1.1175,1.3203
Mo,09/19/2016,1.1165,1.3211
Fr,09/16/2016,1.1244,1.316
Th,09/15/2016,1.125,1.3195
We,09/14/2016,1.122,1.3176
Tu,09/13/2016,1.1235,1.304
Mo,09/12/2016,1.1231,1.3035
Fr,09/09/2016,1.126,1.2937
Th,09/08/2016,1.1239,1.2884
We,09/07/2016,1.1255,1.2844
Tu,09/06/2016,1.1147,1.2928
Mo,09/05/2016,1.1152,1.2993
Fr,09/02/2016,1.1197,1.3103
Th,09/01/2016,1.1158,1.3105
We,08/31/2016,1.1143,1.3099
Tu,08/30/2016,1.1189,1.3011
Mo,08/29/2016,1.1196,1.2997
Fr,08/26/2016,1.1285,1.2922
Th,08/25/2016,1.1264,1.2927
We,08/24/2016,1.1305,1.2913
Tu,08/23/2016,1.132,1.2946
Mo,08/22/2016,1.1304,1.2869
Fr,08/19/2016,1.1354,1.2782
Th,08/18/2016,1.1289,1.2844
We,08/17/2016,1.1279,1.2863
Tu,08/16/2016,1.1184,1.2924
Mo,08/15/2016,1.1168,1.2955
Fr,08/12/2016,1.1137,1.2994
Th,08/11/2016,1.1176,1.3058
We,08/10/2016,1.1117,1.3119
Tu,08/09/2016,1.1088,1.3154
Mo,08/08/2016,1.1088,1.318
Fr,08/05/2016,1.113,1.3019
Th,08/04/2016,1.1149,1.3067
We,08/03/2016,1.1224,1.311
Tu,08/02/2016,1.1163,1.3124
Mo,08/01/2016,1.1177,1.3059
Fr,07/29/2016,1.1077,1.3156
Th,07/28/2016,1.1059,1.3189
We,07/27/2016,1.0986,1.3188
Tu,07/26/2016,1.0995,1.3217
Mo,07/25/2016,1.097,1.3139
Fr,07/22/2016,1.1026,1.3088
Th,07/21/2016,1.1015,1.3057
We,07/20/2016,1.1021,1.302
Tu,07/19/2016,1.1075,1.2945
Mo,07/18/2016,1.1043,1.2949
Fr,07/15/2016,1.112,1.2892
Th,07/14/2016,1.109,1.2978
We,07/13/2016,1.1061,1.3042
Tu,07/12/2016,1.1058,1.3117
Mo,07/11/2016,1.1051,1.3047
Fr,07/08/2016,1.1063,1.3002
Th,07/07/2016,1.11,1.2962
We,07/06/2016,1.1076,1.298
Tu,07/05/2016,1.1154,1.2846
Mo,07/04/2016,1.1143,1.2916
Fr,07/01/2016,1.1106,1.2924
Th,06/30/2016,1.1125,1.2935
We,06/29/2016,1.1065,1.3025
Tu,06/28/2016,1.1025,1.3072
Mo,06/27/2016,1.1072,1.2977
Fr,06/24/2016,1.1385,1.2753
Th,06/23/2016,1.1296,1.2844
We,06/22/2016,1.1242,1.2817
Tu,06/21/2016,1.1314,1.2806
Mo,06/20/2016,1.1281,1.2868
Fr,06/17/2016,1.1225,1.2967
Th,06/16/2016,1.126,1.2912
We,06/15/2016,1.1207,1.2872
Tu,06/14/2016,1.1292,1.2837
Mo,06/13/2016,1.126,1.2745
Fr,06/10/2016,1.1316,1.2724
Th,06/09/2016,1.1395,1.2693
We,06/08/2016,1.1358,1.2735
Tu,06/07/2016,1.1355,1.2817
Mo,06/06/2016,1.1351,1.2946
Fr,06/03/2016,1.1151,1.3096
Th,06/02/2016,1.1188,1.3078
We,06/01/2016,1.1132,1.3093
Tu,05/31/2016,1.1138,1.3049
Mo,05/30/2016,1.1117,1.3018
Fr,05/27/2016,1.1194,1.2979
Th,05/26/2016,1.1155,1.302
We,05/25/2016,1.1141,1.3123
Tu,05/24/2016,1.122,1.3143
Mo,05/23/2016,1.1217,1.3136
Fr,05/20/2016,1.1203,1.3094
Th,05/19/2016,1.1216,1.3034
We,05/18/2016,1.1313,1.291
Tu,05/17/2016,1.1321,1.2895
Mo,05/16/2016,1.1307,1.2927
Fr,05/13/2016,1.1377,1.2846
Th,05/12/2016,1.1426,1.2853
We,05/11/2016,1.1372,1.291
Tu,05/10/2016,1.1383,1.2962
Mo,05/09/2016,1.1402,1.2933
Fr,05/06/2016,1.1405,1.2853
Th,05/05/2016,1.1487,1.2869
We,05/04/2016,1.1496,1.2724
Tu,05/03/2016,1.1534,1.2529
Mo,05/02/2016,1.1449,1.2568
Fr,04/29/2016,1.1352,1.2555
Th,04/28/2016,1.1322,1.2599
We,04/27/2016,1.1298,1.2604
Tu,04/26/2016,1.1268,1.2678
Mo,04/25/2016,1.1235,1.2681
Fr,04/22/2016,1.1288,1.2735
Th,04/21/2016,1.1297,1.2655
We,04/20/2016,1.1358,1.2671
Tu,04/19/2016,1.1313,1.2784
Mo,04/18/2016,1.1309,1.2933
Fr,04/15/2016,1.1268,1.2844
Th,04/14/2016,1.1274,1.2817
We,04/13/2016,1.1386,1.2759
Tu,04/12/2016,1.1408,1.2898
Mo,04/11/2016,1.14,1.2986
Fr,04/08/2016,1.1378,1.3145
Th,04/07/2016,1.1399,1.3089
We,04/06/2016,1.1384,1.3137
Tu,04/05/2016,1.1391,1.3088
Mo,04/04/2016,1.1393,1.3031
Fr,04/01/2016,1.138,1.3004
Th,03/31/2016,1.1338,1.2966
We,03/30/2016,1.1291,1.3074
Tu,03/29/2016,1.1196,1.3187
Mo,03/28/2016,1.1164,1.3273
Fr,03/25/2016,1.1175,1.3248
Th,03/24/2016,1.1181,1.3204
We,03/23/2016,1.1217,1.3049
Tu,03/22/2016,1.1241,1.3101
Mo,03/21/2016,1.1273,1.3003
Fr,03/18/2016,1.1318,1.2976
Th,03/17/2016,1.1224,1.3097
We,03/16/2016,1.1109,1.3355
Tu,03/15/2016,1.1103,1.326
Mo,03/14/2016,1.1151,1.3215
Fr,03/11/2016,1.1178,1.3346
Th,03/10/2016,1.0999,1.3248
We,03/09/2016,1.1011,1.3409
Tu,03/08/2016,1.1014,1.3282
Mo,03/07/2016,1.101,1.3325
Fr,03/04/2016,1.0957,1.3404
Th,03/03/2016,1.0868,1.3417
We,03/02/2016,1.0868,1.341
Tu,03/01/2016,1.0873,1.354
Mo,02/29/2016,1.0932,1.3528
Fr,02/26/2016,1.1018,1.353
Th,02/25/2016,1.1013,1.3702
We,02/24/2016,1.102,1.3793
Tu,02/23/2016,1.103,1.3706
Mo,02/22/2016,1.1124,1.3774
Fr,02/19/2016,1.1107,1.3726
Th,02/18/2016,1.1128,1.3672
We,02/17/2016,1.1144,1.3864
Tu,02/16/2016,1.1156,1.3834
Mo,02/15/2016,1.1261,1.3852
Fr,02/12/2016,1.1323,1.3937
Th,02/11/2016,1.1292,1.3926
We,02/10/2016,1.1293,1.3867
Tu,02/09/2016,1.1193,1.3927
Mo,02/08/2016,1.1158,1.3903
Fr,02/05/2016,1.1209,1.3754
Th,02/04/2016,1.1105,1.3781
We,02/03/2016,1.0919,1.4055
Tu,02/02/2016,1.0888,1.3948
Mo,02/01/2016,1.0834,1.3997
Fr,01/29/2016,1.094,1.4029
Th,01/28/2016,1.0893,1.4096
We,01/27/2016,1.087,1.4118
Tu,01/26/2016,1.0849,1.4291
Mo,01/25/2016,1.08,1.4128
Fr,01/22/2016,1.0874,1.4266
Th,01/21/2016,1.089,1.4504
We,01/20/2016,1.0908,1.4579
Tu,01/19/2016,1.0892,1.456
Mo,01/18/2016,1.0919,1.453
Fr,01/15/2016,1.0865,1.4366
Th,01/14/2016,1.0877,1.434
We,01/13/2016,1.0858,1.4262
Tu,01/12/2016,1.0859,1.4216
Mo,01/11/2016,1.0909,1.4165
Fr,01/08/2016,1.0932,1.4115
Th,01/07/2016,1.0781,1.4076
We,01/06/2016,1.0748,1.3996
Tu,01/05/2016,1.0831,1.3953
Mo,01/04/2016,1.0858,1.3848
Fr,01/01/2016,1.0862,1.3839
Th,12/31/2015,1.0933,1.388
We,12/30/2015,1.092,1.3844
Tu,12/29/2015,1.0968,1.3905
Mo,12/28/2015,1.0952,1.3835
Fr,12/25/2015,1.0964,1.3821
Th,12/24/2015,1.0912,1.3849
We,12/23/2015,1.0957,1.392
Tu,12/22/2015,1.0915,1.3959
Mo,12/21/2015,1.0858,1.3941
Fr,12/18/2015,1.0826,1.3937
Th,12/17/2015,1.0912,1.378
We,12/16/2015,1.0931,1.3733
Tu,12/15/2015,1.0992,1.3734
Mo,12/14/2015,1.0985,1.3741
Fr,12/11/2015,1.0941,1.3625
Th,12/10/2015,1.1025,1.358
We,12/09/2015,1.0892,1.3585
Tu,12/08/2015,1.0837,1.3498
Mo,12/07/2015,1.0872,1.3363
Fr,12/04/2015,1.094,1.3355
Th,12/03/2015,1.0615,1.3343
We,12/02/2015,1.0633,1.3358
Tu,12/01/2015,1.0565,1.3362
Mo,11/30/2015,1.0592,1.3368
Fr,11/27/2015,1.061,1.3294
Th,11/26/2015,1.0624,1.3289
We,11/25/2015,1.0643,1.3305
Tu,11/24/2015,1.0636,1.3365
Mo,11/23/2015,1.0646,1.3337
Fr,11/20/2015,1.0734,1.3285
Th,11/19/2015,1.066,1.3303
We,11/18/2015,1.0642,1.3321
Tu,11/17/2015,1.0686,1.3331
Mo,11/16/2015,1.0752,1.3325
Fr,11/13/2015,1.0814,1.3291
Th,11/12/2015,1.0743,1.3262
We,11/11/2015,1.0724,1.3275
Tu,11/10/2015,1.0752,1.3287
Mo,11/09/2015,1.0735,1.3301
Fr,11/06/2015,1.0884,1.317
Th,11/05/2015,1.0866,1.315
We,11/04/2015,1.0964,1.306
Tu,11/03/2015,1.1016,1.3094
Mo,11/02/2015,1.1015,1.3078
Fr,10/30/2015,1.0977,1.3172
Th,10/29/2015,1.0923,1.3191
We,10/28/2015,1.1051,1.3269
Tu,10/27/2015,1.1058,1.3153
Mo,10/26/2015,1.1009,1.3174
Fr,10/23/2015,1.1109,1.3088
Th,10/22/2015,1.1339,1.3139
We,10/21/2015,1.1346,1.298
Tu,10/20/2015,1.1327,1.3019
Mo,10/19/2015,1.1353,1.2915
Fr,10/16/2015,1.1386,1.2864
Th,10/15/2015,1.1474,1.2936
We,10/14/2015,1.1379,1.3039
Tu,10/13/2015,1.1358,1.2998
Mo,10/12/2015,1.136,1.2955
Fr,10/09/2015,1.1276,1.3017
Th,10/08/2015,1.1237,1.3057
We,10/07/2015,1.1272,1.3034
Tu,10/06/2015,1.1188,1.3086
Mo,10/05/2015,1.122,1.3171
Fr,10/02/2015,1.1195,1.3268
Th,10/01/2015,1.1177,1.3313
We,09/30/2015,1.1249,1.3422
Tu,09/29/2015,1.1244,1.3397
Mo,09/28/2015,1.1196,1.333
Fr,09/25/2015,1.123,1.3305
Th,09/24/2015,1.1186,1.332
We,09/23/2015,1.112,1.3272
Tu,09/22/2015,1.119,1.3255
Mo,09/21/2015,1.1301,1.3213
Fr,09/18/2015,1.1435,1.3183
Th,09/17/2015,1.129,1.3172
We,09/16/2015,1.1269,1.3249
Tu,09/15/2015,1.1317,1.3265
Mo,09/14/2015,1.1338,1.3258
Fr,09/11/2015,1.128,1.3252
Th,09/10/2015,1.1207,1.3259
We,09/09/2015,1.1203,1.3208
Tu,09/08/2015,1.117,1.3307
Mo,09/07/2015,1.116,1.3265
Fr,09/04/2015,1.1123,1.3179
Th,09/03/2015,1.1227,1.3269
We,09/02/2015,1.1315,1.3259
Tu,09/01/2015,1.1211,1.314
Mo,08/31/2015,1.1177,1.3205
Fr,08/28/2015,1.1246,1.3199
Th,08/27/2015,1.1314,1.3292
We,08/26/2015,1.1517,1.3336
Tu,08/25/2015,1.1619,1.3287
Mo,08/24/2015,1.137,1.3183
Fr,08/21/2015,1.1241,1.3087
Th,08/20/2015,1.112,1.3129
We,08/19/2015,1.1024,1.3059
Tu,08/18/2015,1.1078,1.3079
Mo,08/17/2015,1.1108,1.3089
Fr,08/14/2015,1.115,1.306
Th,08/13/2015,1.1159,1.2977
We,08/12/2015,1.1042,1.3114
Tu,08/11/2015,1.1019,1.3001
Mo,08/10/2015,1.0972,1.3128
Fr,08/07/2015,1.0925,1.311
Th,08/06/2015,1.0906,1.3177
We,08/05/2015,1.0881,1.3193
Tu,08/04/2015,1.095,1.3156
Mo,08/03/2015,1.0973,1.3096
Fr,07/31/2015,1.0932,1.3
Th,07/30/2015,1.0984,1.2945
We,07/29/2015,1.106,1.2921
Tu,07/28/2015,1.1088,1.3038
Mo,07/27/2015,1.097,1.3047
Fr,07/24/2015,1.0985,1.3037
Th,07/23/2015,1.0929,1.3033
We,07/22/2015,1.0935,1.2948
Tu,07/21/2015,1.0825,1.2994
Mo,07/20/2015,1.0835,1.2983
Fr,07/17/2015,1.0875,1.2957
Th,07/16/2015,1.0949,1.2913
We,07/15/2015,1.1009,1.2728
Tu,07/14/2015,1.1002,1.2741
Mo,07/13/2015,1.1099,1.2671
Fr,07/10/2015,1.1036,1.2707
Th,07/09/2015,1.1076,1.2746
We,07/08/2015,1.1011,1.2705
Tu,07/07/2015,1.1056,1.2652
Mo,07/06/2015,1.1003,1.2556
Fr,07/03/2015,1.1084,1.254
Th,07/02/2015,1.1053,1.2589
We,07/01/2015,1.1147,1.2494
Tu,06/30/2015,1.1236,1.2403
Mo,06/29/2015,1.1034,1.2342
Fr,06/26/2015,1.1205,1.2328
Th,06/25/2015,1.1205,1.2383
We,06/24/2015,1.1167,1.2327
Tu,06/23/2015,1.1341,1.2309
Mo,06/22/2015,1.1363,1.2259
Fr,06/19/2015,1.1359,1.2222
Th,06/18/2015,1.1337,1.2228
We,06/17/2015,1.1248,1.2295
Tu,06/16/2015,1.1283,1.2325
Mo,06/15/2015,1.1227,1.2326
Fr,06/12/2015,1.1258,1.2292
Th,06/11/2015,1.1324,1.2254
We,06/10/2015,1.1283,1.2337
Tu,06/09/2015,1.1291,1.241
Mo,06/08/2015,1.1112,1.2438
Fr,06/05/2015,1.1238,1.2502
Th,06/04/2015,1.1275,1.2452
We,06/03/2015,1.1151,1.2401
Tu,06/02/2015,1.0927,1.2522
Mo,06/01/2015,1.0985,1.2434
Fr,05/29/2015,1.0949,1.2435
Th,05/28/2015,1.0904,1.2452
We,05/27/2015,1.0873,1.2434
Tu,05/26/2015,1.0978,1.2314
Mo,05/25/2015,1.1005,1.2285
Fr,05/22/2015,1.1112,1.2199
Th,05/21/2015,1.1094,1.2208
We,05/20/2015,1.115,1.2233
Tu,05/19/2015,1.1315,1.216
Mo,05/18/2015,1.1446,1.2006
Fr,05/15/2015,1.141,1.1983
Th,05/14/2015,1.1354,1.1958
We,05/13/2015,1.1213,1.2019
Tu,05/12/2015,1.1155,1.2103
Mo,05/11/2015,1.1197,1.2076
Fr,05/08/2015,1.1267,1.213
Th,05/07/2015,1.1347,1.2048
We,05/06/2015,1.1185,1.2069
Tu,05/05/2015,1.1146,1.2095
Mo,05/04/2015,1.12,1.2164
Fr,05/01/2015,1.1224,1.2077
Th,04/30/2015,1.1128,1.202
We,04/29/2015,1.0981,1.2033
Tu,04/28/2015,1.0891,1.2086
Mo,04/27/2015,1.0866,1.2192
Fr,04/24/2015,1.0824,1.2144
Th,04/23/2015,1.0725,1.2238
We,04/22/2015,1.0736,1.228
Tu,04/21/2015,1.0738,1.2225
Mo,04/20/2015,1.0822,1.2251
Fr,04/17/2015,1.0761,1.2189
Th,04/16/2015,1.0684,1.229
We,04/15/2015,1.0655,1.2485
Tu,04/14/2015,1.0567,1.2596
Mo,04/13/2015,1.0598,1.2574
Fr,04/10/2015,1.0659,1.2578
Th,04/09/2015,1.0781,1.2546
We,04/08/2015,1.0814,1.2506
Tu,04/07/2015,1.0922,1.2482
Mo,04/06/2015,1.0967,1.2479
Fr,04/03/2015,1.088,1.2559
Th,04/02/2015,1.0763,1.2621
We,04/01/2015,1.0731,1.2686
Tu,03/31/2015,1.0833,1.2675
Mo,03/30/2015,1.0891,1.2609
Fr,03/27/2015,1.0884,1.2483
Th,03/26/2015,1.097,1.252
We,03/25/2015,1.0924,1.2493
Tu,03/24/2015,1.0946,1.2523
Mo,03/23/2015,1.0837,1.2565
Fr,03/20/2015,1.066,1.2717
Th,03/19/2015,1.0864,1.2566
We,03/18/2015,1.0597,1.2788
Tu,03/17/2015,1.0568,1.2773
Mo,03/16/2015,1.0489,1.2789
Fr,03/13/2015,1.0635,1.2686
Th,03/12/2015,1.0547,1.275
We,03/11/2015,1.0698,1.2689
Tu,03/10/2015,1.0852,1.2604
Mo,03/09/2015,1.0832,1.2617
Fr,03/06/2015,1.103,1.2486
Th,03/05/2015,1.1078,1.2427
We,03/04/2015,1.1176,1.2496
Tu,03/03/2015,1.1184,1.2535
Mo,03/02/2015,1.1191,1.248
Fr,02/27/2015,1.1198,1.2515
Th,02/26/2015,1.1361,1.2436
We,02/25/2015,1.134,1.2486
Tu,02/24/2015,1.1335,1.2571
Mo,02/23/2015,1.1384,1.2529
Fr,02/20/2015,1.1368,1.2495
Th,02/19/2015,1.1397,1.2455
We,02/18/2015,1.1411,1.2389
Tu,02/17/2015,1.1355,1.2466
Mo,02/16/2015,1.1401,1.2448
Fr,02/13/2015,1.1403,1.2509
Th,02/12/2015,1.1336,1.2632
We,02/11/2015,1.1321,1.2587
Tu,02/10/2015,1.1325,1.2467
Mo,02/09/2015,1.1316,1.2535
Fr,02/06/2015,1.1477,1.2434
Th,02/05/2015,1.1345,1.2574
We,02/04/2015,1.1481,1.2416
Tu,02/03/2015,1.1341,1.2564
Mo,02/02/2015,1.1285,1.2722
Fr,01/30/2015,1.132,1.2616
Th,01/29/2015,1.1287,1.2536
We,01/28/2015,1.1381,1.2399
Tu,01/27/2015,1.1239,1.2474
Mo,01/26/2015,1.1189,1.2434
Fr,01/23/2015,1.1366,1.238
Th,01/22/2015,1.161,1.234
